,title,description,title_label,description_label
20,민주 최민희 비명계 움직이면 죽는다 당원과 함께 죽일 것 ,앞서 최 의원은 이달 일 서울 도심에서 열린 김건희 윤석열 국정농단 규탄 특검촉구 제 차 국민행동의 날 집회에 참석 현장에서 오마이 와 인터뷰를 통해 이같이 말했다 그는 향후 재판을 어떻게 전망하느냐 는 ,0,1
21,박장범 사장 후보 파우치 는 팩트 국어사전 찾아봐라 ,박장범 사장 후보자가 국회 인사청문회에서 과거 김건희 여사의 명품 가방 수수 논란과 관련해 파우치 라고 지칭한 것은 객관적이고 중립적인 용어를 사용한 것 이라고 밝혔다 박 후보자는 일 국회 ,1,1
22,장성철 이준석 부르면 년 지방선거 가지 부적절한 일 밝힐 태세 ,당시 국민의힘 경상북도위원장이었던 김정재 의원이 김건희 여사의 뜻이라며 현 포항시장인 이강덕 예비후보를 컷오프 하려고 하자 이 의원은 이를 확인하기 위해 김 여사와 만났다고 했다 또 이 의원은 검찰 수사관 ,0,1
23,여 판사 악마화 맹공 야 이재명 방어 총력전,반면 민주당 이재명 대표는 오전 최고위에서 자신의 선고와 관련한 언급은 자제하는 대신 김건희 여사 박 후보자는 김건희 여사의 명품 가방 수수 논란과 관련해 파우치 라고 지칭한 일은 공식 명칭을 사용한 것일 ,0,1
24, 비명계 움직이면 죽이겠다 민주당 이재명 심 징역형 엄호 발언 잇따 ,이재명 더불어민주당 대표가 일 서울 종로구 광화문 앞에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 민주당 최민희 의원은 지난 일 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검촉구 제 차 ,0,1
25,민주당 장외집회 이어나갈 것 이재명은 민생경제 챙긴다 ,민주당은 지난 일을 시작으로 지난 일까지 주말마다 총 세 차례의 김건희 윤석열 국정농단 규탄 특검 촉구 국민의 날 장외집회를 진행했다 국회 안에서는 이날부터 김건희 특검법 관철을 위한 차 비상 행동에 ,0,0
26, 뉴스 김민석 통합 주민투표 의회투표 알아서 공감대 , 김건희 특별법 이 세번째로 국회 본회의를 통과했습니다 명태균 게이트 까지 더해 대통령 배우자인 김건희 여사가 정국의 핵심으로 떠오르고 있는데요 야당은 발걸음이 빨라지고 있고 여당은 방어막을 손보고 있습니다 ,0,1
27,박찬대 이재명 심 판결 에 명백한 사법살인 ,이번 엉터리 판결 이후 김건희 윤석열 대통령도 처벌받아야 한다는 여론이 확산하고 있다 많은 국민께서는 그런데 김건희 는 그런데 윤석열은 이라고 묻고 있다 고 언급했다 이어 제 야당의 대표와 ,0,1
28, 미디어특위 의 은 민주당의 인가 특정 정당 방송 자처 , 공식 유튜브에서 지난 일 더불어민주당의 김건희 특검법 촉구 차 국민행동의 날 장외집회를 무려 시간 분 동안 생중계한 것과 관련 국민의힘은 일 의 은 민주당의 인가 라고 쏘아붙였다 국민의힘 ,0,0
29,이재명 죽지 않아 발언에 당대표 자격 전과 범으로 ,이재명 더불어민주당 대표가 일 광화문 북측광장에서 김건희 윤석열 국정농단 규탄 및 특검 촉구 차 집회에서 결코 죽지 않는다 라고 말했다 여당에선 당 대표 자격 요건을 전과 범 이상으로 올려야 될 듯 싶다 ,1,1
30,경호처 골프 취재기자 휴대폰 뺏고 신고 경찰 사실 확인 중 ,이날은 윤 대통령이 부인 김건희 여사 논란 등에 대해 대국민 사과를 한 시점으로부터 이틀 뒤였다 해당 취재 과정에서 대통령 경호처는 기자의 휴대전화를 빼앗았다 경찰 신고도 이뤄졌는데 경호처는 경찰에 경호법을 ,1,1
31,민주당 최민희 내가 죽일 것 에 당 차원 입장 아냐 ,앞서 최 의원은 지난 일 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 집회에서 일부 언론이 민주당에 숨죽이던 비명계가 움직이기 시작했다 고 보도했는데 움직이면 죽는다 제가 당원과 함께 죽일 것 ,0,1
32,박장범 청문회 파우치 표현 사과해야 상품 정식 명칭 ,여야는 일 박장범 사장 후보자에 대한 국회 과학기술정보방송통신위원회의 인사청문회에서 박 후보자가 김건희 여사가 받은 명품 가방을 파우치 라고 표현한 것을 두고 공방을 벌였다 더불어민주당은 박 ,0,1
33,박장범 사장 후보 파우치 표현은 팩트 성명엔 반성 ,박장범 사장 후보자가 김건희 여사 명품 가방 수수 의혹과 관련해 논란이 된 파우치 표현에 대해 공식 명칭을 사용한 것뿐 이라고 해명했다 박 후보자는 일 국회 과학기술정보방송통신위원회의 ,1,0
34,참가 숫자 신통치 않은 탄핵 집회 이재명은 동지 아니냐 호소,더불어민주당이 진행한 김건희 윤석열 국정농단 규탄 및 특검 촉구 차 집회가 기존보다 크게 늘거나 줄지 않은 것으로 확인됐다 이재명 더불어민주당 대표는 동지 라는 발언을 강조했는데 집회 참석자들이 대폭 늘지 ,0,0
35,최민희 기득권 세력이 뭉쳐 이재명 죽이기 민주당 분열 부추기는 ,최 의원은 지난 일 오후 서울 광화문 일대에서 진행된 김건희 윤석열 국정농단 규탄 집회 현장 오마이 인터뷰에서 어떤 법 판결이 나오느냐가 중요한 것이 아니라 핵심은 민주당이 분열하느냐 아니냐에 ,0,0
36,첫 선고부터 징역형 이재명 이게 제일 약할 것이다 김경율의 노빠 ,이를 포함해 김건희 특검법 전망과 윤석열 대통령의 지지율 전망까지 가감 없이 파헤쳐드립니다 오늘 오후 시 유튜브에서 시사저널 또는 김경율의 노빠꾸 정치 를 검색해 함께해주세요 ,1,1
37,한동훈 나랏돈 잘 써야 이재명 특검 통과돼야 ,더불어민주당은 김건희 여사 특검 수용을 거듭 촉구했습니다 보도에 이유민 기자입니다 리포트 더불어민주당은 김건희 여사 특검법 수용을 거듭 촉구했습니다 이재명 대표는 최고위원회의에서 검찰이 제대로 하지 ,1,1
38,청문회에 등장한 김 여사 디올백 박장범 디올 파우치 팩트이고 상 ,박장범 사장 후보자가 과거 김건희 여사의 명품 가방 수수 논란과 관련 파우치 라고 표현한 것은 객관적이고 중립적인 용어를 사용한 것 이라고 해명했다 박 후보자는 일 국회 과학기술정보방송통신위원회 과방위 ,1,1
39, 비명계 죽일 것 김용태 최민희 발언 이재명 확정판결 대비 ,앞서 최 의원은 지난 일 오후 광화문 일대에서 진행된 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민행동의 날 집회 현장에서 유튜버들과 만나 어떤 판결이 나오느냐가 중요한 게 아니라 핵심은 민주당이 ,0,1
40, 삐라에 미사일 등장 오늘은 오물벼락 내일은 불바다 ,윤석열 대통령과 김건희 여사 비판 내용이 주를 이뤘던 지난번과 달리 무력도 과시하며 경고에 나선 것이다 미사일 발사 장면이 실린 전단 앞면에는 윤 대통령 사진과 함께 핵보유국의 문전에서 군사력의 압도적 ,0,1
41,박장범 공영방송 명품 사용 않는다 쇼 진품명품은 ,박장범 사장 후보자가 윤석여 대통령 부인 김건희 여사의 명품 가방 수수 의혹을 두고 파우치 라고 단순화한 데 대해 공식 상품명을 사용한 것이라며 해명했다 특히 명품 이라는 단어가 공영방송에서 잘 쓰이지 ,0,1
42, 윤석열 김건희 얼굴에 주먹질 퍼포먼스 전북서 대통령 퇴진 운동 시 ,이들은 퇴진 의미를 담아 윤 대통령과 김건희 여사 사진에게 주먹을 날리는 퍼포먼스를 보였다 윤석열퇴진 전북운동본부는 오는 일 전주 모래내시장 앞에서 도심 행진을 하며 차 윤석열 퇴진 전북도민 대회를 개최할 ,0,1
43, 단독 특검법 재의결 때 결집할라 민주당 검사 탄핵 연기 검토할 ,오는 일 국회 본회의 때 김건희 여사특검법 특검법 재의결과 함께 검사 탄핵소추안 처리를 추진하려고 했던 더불어민주당이 검사 탄핵과 관련해선 추가 논의가 필요하다는 쪽으로 기류가 바뀐 것으로 일 파악됐다 ,0,1
44, 파우치 방송 이란 조롱까지 박장범 문제 그게 다가 아니다,박장범 앵커가 김건희 여사의 명품백 수수를 가리켜 이른바 파우치 외국 회사의 조그만 백 이라 발언했을 때 이미 명예는 크게 훼손되었다 그런 박장범 기자가 사장이 된다면 그는 파우치 사장 으로 는 ,0,1
45, 이재명 심 후폭풍 야당 정치판결 여당 판사 겁박 ,왜 김건희 여사에 대한 수사는 제대로 이루어지지 않고 심지어 기소조차 되지 않았다는 데 국민께서는 있다며 김건희 여사 특검법을 통과시키겠다고 강조했습니다 이재명 더불어민주당 대표 국민의 압도적 다수가 ,0,1
46,이재명 판결 공방전 재판 지연 막을 것 김건희 특검 관철 ,반대로 더불어민주당은 이 대표 심 판결 대응을 자제하는 대신 김건희 특검법을 관철시키겠다는 의지를 사법살인 김건희 특검 반드시 통과 민주당은 이 대표 심 판결을 두고 사법정의가 무너졌다 는 주장을 폈다 ,0,0
47,박장범 청문회 파우치 표현 사과해야 상품 명칭 ,여야는 일 박장범 사장 후보자에 대한 국회 과학기술정보방송통신위원회의 인사청문회에서 박 후보자가 김건희 여사가 받은 명품 가방에 대해 파우치 라고 표현한 것을 두고 공방을 벌였다 더불어민주당은 박 ,0,1
48,박장범 사장 후보자 디올 파우치 공식 상품명 사실이고 팩트 ,박장범 사장 후보자가 김건희 여사의 명품 가방 수수 논란에 대해 해당 가방을 파우치 라고 지칭한 일은 공식 명칭을 사용한 것뿐이라고 해명했다 박 후보자는 일 국회 과학기술정보방송통신위원회 과방위 의 ,0,0
49,여야 조 예산 힘겨루기 돌입 삭감 경쟁 도,구 의원은 또 개 식용 종식 마음 건강 지원 사업 용산어린이공원 등 야당이 김건희 예산 등으로 규정해 삭감을 선언한 예산들에 대한 야당의 전향적 태도를 촉구했다 마음 건강 지원 사업 의 경우 ,0,1
50, 움직이면 죽일 것 비명계 움직임 에 경고장 날린 친명,앞서 최 의원은 지난 일 광화문 일대에서 진행된 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 문재인 정부에서 기획재정부 장관 겸 경제부총리를 지냈던 김동연 지사는 지난 일 김건희 윤석열 국정농단 규탄 ,0,1
51, 디올 파우치는 제품명 팩트다 박장범 사장 후보 논란 해명, 연합 헤럴드경제 한지숙 기자 박장범 사장 후보자가 김건희 여사의 명품 가방 수수 논란과 관련해 가방을 파우치 라고 지칭한 것은 공식 제품명을 말한 것이라고 밝혔다 올해 월 에서 방송된 윤 ,0,1
52,박장범 사장 후보 디올 파우치 표현은 팩트이자 상품명 ,박장범 사장 후보자가 대통령 배우자 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 일은 공식 명칭을 사용한 것뿐이라고 해명했습니다 박 후보자는 오늘 일 국회 ,0,0
53, 용산방송으로 추락한 박장범이 주범 ,이들 단체는 이날 김건희 여사가 받은 명품 가방 파우치로 축소 장악 부역자 용산방송 추락 등을 박장범 후보는 윤석열 대통령 특별대담에서 김건희 여사가 받은 명품가방을 조그만 파우치 라며 애써 ,0,1
54, 하야 안 되면 탄핵이든 개헌이든 다 해야 ,향후 정치브로커 명태균씨 사건과 관련한 김건희 여사 특검 특별검사 법 관철을 위해 장외집회도 강화한다 이재명 민주당 대표는 국민이 법질서 회복을 바라고 있다 며 이번 김건희 특검은 윤 대통령의 거부권이 ,0,1
55,검찰 재소환 강혜경 명태균이 윤 당선 도우면 공천 문제없다 언급 ,강 씨는 명 씨가 대 대선 과정에서 당시 윤 후보자를 위해 차례에 걸쳐 억 만 원 상당의 여론조사를 해준 뒤 그 대가로 김건희 여사와 친분을 이용해 김 전 의원의 보궐선거 공천을 도왔다고 주장한다 이와 관련 ,1,0
56,바닥 찍고 한숨 돌린 지지율 명태균 특검 리스크 복병,이 대표의 사법 리스크가 현실화되면서 김건희 여사 특검법 등 야권의 대정부 공세의 동력이 약화됐다는 평가다 대통령실 고위 관계자는 뉴스 과 통화에서 이 대표의 징역형 선고와 관련해 대법원에서 최종 판단할 ,0,1
57,민주당 이재명 심 선고 에 단일대오 강조 김건희 특검 통과돼야 ,이어 김건희 여사 특검법 과 관련해 질서 유지의 최후 보루라고 할 검찰이 검찰권을 남용하고 또 범죄를 전현희 최고위원은 자력으로 정권 창출이 불가한 윤건희 윤석열 김건희 정권 이 최대 걸림돌인 이재명 ,0,1
58,명태균 내가 김건희 에 윤한홍 후보 비서실장 안 된다 조언 ,더불어민주당이 김건희 여사 공천개입 의혹의 핵심인물인 명태균 씨가 자신이 지난 대선 당시 윤석열 명 씨는 그러면서 당시 김건희 여사를 만나러 갔다가 윤한홍 비서실장 카드를 밀던 권성동 의원 장재원 전 의원과 ,0,1
59,이재명 집행유예 파장 법원에서 끝까지 싸워나갈 것 악의적 거짓말 ,장 부위원장은 이재명 대표가 심에서 중한 형을 받았다고 해도 김건희 여사와 관련된 논란이 희석된 것 아니고 명태균 씨 공천 의혹도 없어지는 것은 아니다 고 강조했습니다 호준석 국민의힘 대변인은 같은 자리에서 ,0,0
60,최민희 비명계 죽일 것 전현희 윤 김 살인자 발언도 소환,그러자 지난 월 김건희 윤석열 살인자 발언으로 충격을 안겨줬던 같은 당 전현희 의원의 막말까지 이날 국회 과학기술정보방송통신위원회 최민희 위원장은 지난 일 오후 서울 광화문에서 열린 김건희 윤석열 ,0,0
61,박찬대 이재명 심 판결 명백한 사법살인 ,이번 엉터리 판결 이후 김건희 윤석열 대통령도 처벌받아야 한다는 여론이 확산되고 있다 고 말했다 그러면서 많은 국민께서는 이렇게 묻습니다 그런데 김건희 는 그런데 윤석열은 제 야당의 대표와 배우자는 년이 ,0,1
62,명태균 윤석열 후보 설득해 윤한홍 도지사 출마 막아 ,명 씨는 또 당시 윤 후보가 지방 일정을 가면 서울 서초동 사저에 가 김건희 여사를 만났다며 김 여사를 통해 윤한홍 의원의 대선 후보 비서실장 인선도 막았다고 주장했습니다 이어 년 월엔 박완수 경남도지사를 윤 ,0,1
63, 김건희 여사에 주먹 날리며 당장 퇴진하라 여개 시민단체 모여 ,이들은 퇴진 의미를 담아 윤 대통령과 김건희 여사에게 주먹을 날리는 퍼포먼스를 했다 윤석열퇴진 전북운동본부는 오는 일 전주 모래내시장 앞에서 도심 행진을 하며 차 윤석열 퇴진 전북도민 대회를 개최할 ,0,1
64,최민희 비명계 움직이면 내가 당원과 함께 죽일 것 ,그는 이날 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민행동의 날 집회에 참석했다 최 의원은 어떤 판결이 나오느냐가 중요한 게 아니라 핵심은 민주당이 분열하느냐 아니냐 라며 ,0,1
65, 비명계 움직이면 죽이겠다 신의 사제 민주 이재명 엄호 발언 이어 ,최민희 민주당 의원은 지난 일 서울 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검촉구 제 차 인식이고 김건희 정권 이 무너지는 조짐이 보인다고 해서 쉽게 물러날 거냐 그렇지 않다고 생각한다 고 덧붙인다 ,0,0
66, 포토 이게 파우치 박장범 사장 후보자 청문회에 등장한 명품백,이날 야당 의원들은 지난 월 박 후보자가 윤석열 대통령과의 대담 당시 김건희 여사 명품 가방 수수 의혹과 관련해 명품백을 조그마한 가방 이라고 표현것을 두고 자진사퇴 촉구에 나섰다 일요시사 ,0,1
67,박장범 사장 후보 파우치 표현은 공식 상품명 사용한 것 ,박장범 사장 후보자가 대통령 배우자 김건희 여사의 명품 가방 수수 논란과 관련해 해당 가방을 파우치 라고 지칭한 일은 공식 상품명을 사용한 것뿐이라고 해명했습니다 박 후보자는 오늘 일 국회 ,0,0
68,박장범 인사청문회에서도 공식 사이트에 디올 파우치 , 일 국회 과학기술정보방송통신위원회 박장범 사장 후보자 인사청문회는 지난 월 윤석열 대통령 녹화 대담을 진행한 박 후보자가 김건희 여사가 받은 디올 명품백 을 파우치 조그만한 백 이라고 부른 일을 ,0,1
69, 이슈 친명 똘똘뭉쳐 비명 경고 비명 움직이면 죽인다 포스트 이재 ,최민희 민주당 의원은 지난 일 열린 김건희 윤석열 국정농단 규탄 관련 집회 현장에서 가진 유튜브와의 인터뷰에서 일부 언론의 흔들기에 부화뇌동해 이재명이 어떻게 되면 우리 세력이 당권을 잡을 수 있겠지 하는 ,0,1
70,당당한 박장범 파우치 사전에 작은 가방이라고 나온다 ,부인 김건희 여사가 받은 디올 핸드백과 동일한 제품을 들어보이며 질의하고 있다 유성호 이날 청문회에서 박 후보자는 올해 월 방송된 윤석열 대통령과의 단독 대담에서 김건희 여사가 수수한 명품 가방에 대해 ,1,1
71,경남대 김근식 이재명 유죄라고 희희낙락할 게 아니다 ,김 교수는 민심과 이반되고 국민 눈높이에 맞지않는 대통령의 고집과 불통 대통령 비위만 맞추는 일부 친윤들의 행태 김건희 여사의 부적절한 정치 오지랖 등으로 그동안 국민의 불만과 분노를 자아낸 점이 결국 ,0,0
72,민주 김영선 좀 해줘라 통화 시각 특정 공천개입 의혹 아니 ,황정아 대변인은 명 씨와 김건희 여사의 긴밀한 관계도 드러나고 있다 명 씨는 대선 당시 대통령 부부 사저를 방문해 김 여사가 주가조작 의혹 관련 검찰 서면조사 대책회의를 한다는 사실까지 알고 있었다 면서 년 ,0,1
73,민주 최민희 의원 비명계 움직이면 제가 당원과 함께 죽일 것 ,민주당 국민소통위원자이며 대 대선 이재명 캠프 미디어특보단장을 지낸 최 의원은 일 오후 서울 광화문 일대에서 진행된 민주당의 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민행동의 날 집회 현장에서 ,0,0
74, 골프 외교 사과커녕 제보자 색출 일 전북서 퇴진 집회,이들 단체는 윤석열 정권의 오만과 독선 무지와 폭력은 대한민국 민주주의와 국민의 존엄을 철저히 짓밟고 있다 며 나라의 평화와 국민의 안녕을 지키기는커녕 김건희 여사 지키기에 모든 권력을 집중하고 있다 고 ,0,1
75,보수의 심장 경북에서 시국선언 안동대 교수 명 윤 대통령 퇴진 촉 , 대통령 부인으로 내조만 하겠다던 김건희 여사가 권력을 이용해 국정을 농단하는 작금의 사태를 주역인 김건희 여사에 대한 조건없는 특검 실시와 전쟁 위기 조장 굴종 외교 민생파탄의 책임자인 윤석열 대통령의 ,1,0
76, 예산안 국민 목소리 반영 이재명 방탄 목적 예산 삭감 인정 못해 ,앞서 민주당 등 야당은 정부의 전 국민 마음 투자 지원 사업 과 개 식용 종식 사업 을 김건희 예산 으로 규정하고 삭감을 주장하고 있다 민주당을 향해서는 지방자치단체와 협의한 대통령 민생 토론회 논의 사업을 ,0,1
77, 명태균 의혹 새 뇌관으로 떠오른 이준석의 입, 김건희 여사와 주고받은 명태균 씨의 문자 메시지 그리고 대통령과 주고받은 통화 내용 등이 공개되면서 이준석 당시 대표가 본인 이야기만 하지 않을 텐데 김건희 여사나 윤석열 대통령에 대해서도 이야기를 할 ,1,1
78,친명 최민희 비명계 움직이면 죽일 것 제가 당원과 함께 죽일 것 ,최민희 의원은 지난 일 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 집회에서 검찰을 비판하며 당내 분열을 경계하는 발언을 했다 최 의원은 검찰 독재 정권하에서는 법대로 모든 일이 결정되기 어려운 ,0,0
79, 천막당사 위기설에도 이재명 사수 올인하는 친명,열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민 행동의 날 에 참가해 발언하고 있다 연합뉴스 최민희 민주당 의원은 앞서 일 서울 도심에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민 ,1,1
80, 사법리스크 못 벗어난 이재명 당 장악력은 더 굳건해져,오히려 이를 계기로 김건희 여사 특검법과 검사 탄핵 등에 속도를 낼 것이란 분석도 나오고 있다 야권 내 숨어 있는 플랜 움직임도 감지돼 다만 현재 숨죽이고 있는 비명 비이재명 계 측에서 이재명 대표의 대안 주자를 ,0,1
81, 명태균 사건 특별수사팀 미룬 내막,명씨 논란의 핵심은 윤석열 대통령과 김건희 여사의 공천 개입 의혹이다 대검찰청은 이달 초 창원지검 대가성 인정되면 뇌물 내부선 어차피 수사 불가 차라리 특검 수사팀은 특히 김건희 여사가 명태균씨에게 ,1,1
82, 이재명 선고 입장문 내라 에게도 향하는 친명의 분노 정치 담 ,강성 친명으로 평가받는 최민희 민주당 의원은 지난 일 광화문에서 열린 김건희 윤석열 국정농단 규탄 특검 촉구 제 차 국민 행동의 날 에서 민주당의 숨죽이던 비명계가 움직이기 시작했다고 한다 며 어떤 판결이 ,0,0
83,최민희 비명계 움직이면 죽일 것 민주 당 차원 입장 아냐 이런 ,앞서 최 의원은 지난 일 서울 광화문 일대에서 열린 민주당 주최 김건희 윤석열 국정농단 규탄 특검촉구 제 차 국민행동의 날 집회 현장에서 진행된 오마이 와 인터뷰에서 해당 발언을 해 논란이 됐다 당시 최 ,0,0
84,예고된 사법리스크에 비명계 꿈틀 친명계 이재명 중심 정권교체 ,김동연 경기지사는 일 서울 광화문 광장 인근에서 열린 윤석열 대통령 퇴진 김건희 여사 특검 도입 촉구 집회에 참석한 후 페이스북에 사법부를 비판하며 사법부 판단 매우 유감스럽다 대한민국에 법의 상식과 ,0,1
85, 지지율 위 이재명 위기에도 여야 공히 차기가 안 보인다,그에 앞서 김건희 여사 논란이 여권을 관통했을 당시에는 박형준 부산시장 나경원 권영세 김기현 의원 등과 함께 당정 간 중재자를 자처하기도 했다 지난 대 대선을 앞두고 국민의힘 후보 경선에 참여했던 홍 시장도 ,0,1
86,입 뗀 이준석 판도라 상자 되나,명태균씨에게서 시작된 윤석열 대통령과 김건희 여사의 공천 개입 의혹 폭로 가 이제는 이준석 개혁신당 의원으로 번져가고 있다 김영선 전 의원의 공천 개입 의혹과 관련한 대통령의 해명에 대해 말미잘 같다 고 ,0,1
